// parameters
// n \t m \t outValue \t M \t alpha \t T \t epsilon \t beta \t txsize \t iosize \t cout \t coutValue
6	2	4659300	1048576	2.515625	1374	1374	34	3840	956	0	0

// vin
// id \t size \t value \t confirm \t vout \t choosen \t txid
1	148	678240	10034	52	1	71a61bbb5e0dd0dbcac6ee62a569cbe2d4cb7ea78d8d3799203bf920eb579e91
2	148	314900	1578	150	1	8f3debb8b2f75e84223d0fa4fbf05c1b26451561a855a1c84a71eeafa5ed3fdf
3	148	638707	6854	147	1	aff5cba8c60d2c0ade6355272b2ba180faf26be20445e335380492e63aaed0ec
4	148	963566	466	154	1	bb6bc70e06acdd34c5e4d59ee8a8d4da7807a0d07e9e285473d06cad76db9240
5	148	911441	1884	151	1	c9e5ec9c2d2d2c5fb0b1f982c7b320d8c4b2a8c8e6292daa39cb1d5024e4c7b6
6	148	1162106	2632	153	1	efe5911290d7cc70071d02cc56921ed0e943dd5d8cec8022e3c3a8838943c88f

// vout
// id \t size \t value
1	34	220750
2	34	4438550
