// parameters
// n \t m \t outValue \t M \t alpha \t T \t epsilon \t beta \t txsize \t iosize \t cout \t coutValue
6	2	6202921	1048576	25.0673854447439	13687	13687	34	1484	364	0	0

// vin
// id \t size \t value \t confirm \t vout \t choosen \t txid
1	148	3086837	1398	49	1	ec72bc57c04538c4619778035d7481a7e129cb12994f8f66920d2c24bec55a3f
2	148	3153284	7476	30	1	93c92d065421bc50aa20130d1b36474e620c57981392daec2b24d35ed6f4ac74
3	148	3231423	3419	161	0	63547a3221e11d73e5c136c695d78acb3d1648ac53eb3fa47e01e791323389d6
4	148	3265053	4354	40	0	575a8869eef30bf3e0cc499072fdb5a883ba04afbd30ae9c721e3fd2b6a78468
5	148	9092457	7410	41	0	90883b451e9eb1c74dd5caffe9c7f277517aa1b518375334bfee239d9ea7ba82
6	148	11199611	11613	3	0	e02f0ee9137f0fe3176b84eb810354d896b1c8cc7c54d08c0076c8c66e1efe83

// vout
// id \t size \t value
1	34	3098000
2	34	3104921
