input = <
18, 
1, 
421360000, 
1048576, 
11.3150392017106, 
6179, 
6179, 
34, 
5612, 
1400, 
1, 
401809252, 
>;

UTXOs = { 
<1, 148, 49971300>, 
<2, 148, 4120141>, 
<3, 148, 1879100>, 
<4, 148, 6577700>, 
<5, 148, 33616593>, 
<6, 148, 575195>, 
<7, 148, 3603172>, 
<8, 148, 25479400>, 
<9, 148, 697410151>, 
<10, 148, 401809252>, 
<11, 148, 14724390>, 
<12, 148, 119989700>, 
<13, 148, 10046421>, 
<14, 148, 1479400>, 
<15, 148, 99989700>, 
<16, 148, 399883000>, 
<17, 148, 51896295>, 
<18, 148, 660469>, 
};

output = { 
<1, 34, 421360000>, 
};
