input = <
16, 
2, 
56680000, 
1048576, 
11.3300492610837, 
6187, 
6187, 
34, 
1624, 
398, 
1, 
116281094, 
>;

UTXOs = { 
<1, 148, 20536131>, 
<2, 148, 152443363>, 
<3, 148, 116281094>, 
<4, 148, 365775932>, 
<5, 148, 158385474>, 
<6, 148, 56252938>, 
<7, 148, 23223925>, 
<8, 148, 751930368>, 
<9, 148, 108305836>, 
<10, 148, 1647052>, 
<11, 148, 303831377>, 
<12, 148, 504580757>, 
<13, 148, 74159618>, 
<14, 148, 127646222>, 
<15, 148, 20173124>, 
<16, 148, 14095955>, 
};

output = { 
<1, 34, 6680000>, 
<2, 34, 50000000>, 
};
